subject,run,qDMN,qCEN,qPDA,qGLOBAL,fsnrPDA,betaPDA,r2PDA,fsnrCEN,betaCEN,r2CEN,resid_PDA,resid_CEN
dmnelf008,3,12.02334639302001,-7.642588330433338,5.414814226845084,1.7982393216164627,-11.696631555694903,0.30180580517668704,0.06337289760603665,-12.327936063649824,0.2117687639264693,0.055272962024437745,0.2394922469911217,0.1363611121643424
dmnelf008,4,9.0734363672887,-1.8096876795957564,4.252635308481339,2.97895085876837,-9.939455983110756,0.28708165438871946,0.09206781054421487,-10.324892294788997,0.1760270770460401,0.08491281594817063,0.14458711889765358,0.05940476872906777
dmnelf009,1,3.0729565356334043,0.32176823630923623,4.90567701225802,3.6991378625518982,-12.820224593107865,0.16595393805309977,0.04964368438350955,-7.406035656998407,0.37340322771231677,0.15377396631601586,0.0937930609662547,0.13650005489122502
dmnelf009,2,7.939162289546572,7.762063563094163,-2.310003158799777,9.649380940010037,-21.010618541215422,-0.07413373317596277,0.007861590334949382,-21.288154937123696,0.06812710617593738,0.007378501726475779,0.12338623722349384,0.11107811532249365
dmnelf009,3,3.5229901358876345,-1.3557627951366373,2.8810312836414527,5.056903845106477,-7.786988168473298,0.4333975470108113,0.14270282644139728,-8.10848291657079,0.3554127329829683,0.1338837572207776,0.20074504743688668,0.14537421482250246
dmnelf009,4,0.6844460287814262,-0.6694938927266408,-2.5125495669162,2.010228602238329,-8.656462377710087,0.2702409864533082,0.11991618330551203,-50.667973915907254,0.0022028103058902545,8.574304145320367e-06,0.09535024159048083,0.10067571342820927
dmnelf010,1,-2.49403097287666,-0.11119337785918362,-4.54098009231927,0.8011464630234484,-28.585359372355903,0.0360215453265703,0.0013831298727755453,-14.19089730792243,-0.20383481400135822,0.036700469314004044,0.16666090756037658,0.19400797316776466
dmnelf010,2,2.8729976479508186,0.44941286469581504,3.619050379507595,0.7979095491229686,-18.706497426417588,-0.08498331862766281,0.013290447072029622,-12.548527473273756,-0.23696497645251158,0.05267979232252686,0.09538723070021449,0.17963633914230676
dmnelf010,3,2.6122841281592635,1.4705100581097477,4.272532434415411,1.2294655600607551,-13.10109037477371,0.15128670909338038,0.046679879034186106,-10.095509350375785,0.21757718852099542,0.08910786106938008,0.08315410894785756,0.08608961808840991
dmnelf010,4,3.5031907382501144,1.2544899925630462,2.2504537199942893,-3.2444348445972993,-26.500305192837615,0.03054265846289746,0.0022335638466695336,-22.238730762987565,-0.04958905153528079,0.005936643753989409,0.07413397987370703,0.07325171633123102
dmnelf011,1,4.5288056014869635,3.2629153345446067,-2.813168037030777,7.509038957691898,-60.741239467957186,-0.0004892390334567997,8.430933952091791e-07,-17.880397742347277,-0.15459504601523066,0.01603031092628387,0.050505569288837905,0.26097808793639554
dmnelf011,2,4.873735335994704,6.313744288406737,3.18058839224802,8.649448344147823,-15.07298640414132,0.11110174701490312,0.03015798723539346,-17.560848159911156,0.14715577937763966,0.01723318956451397,0.07061769558377202,0.2196911626980149
dmnelf011,3,6.396100691418659,5.34279936345682,5.294520545102231,6.518357954319132,-12.99435745316487,0.1445421255644813,0.04778580494974127,-11.170107260919242,0.2564775333829428,0.07096153014828104,0.07406239366556586,0.15320837548087993
dmnelf011,4,5.230122185179718,6.624003292257744,4.529097370259908,7.127253897096953,-15.220402886750943,0.08377193855990998,0.029180857020186125,-30.459099234276987,0.026665967966258503,0.0008988754607300334,0.041534648999594734,0.14060402542093642
dmnelf012,1,4.4704421607254865,1.652657141523553,0.1360978935340251,10.856229505317312,-8.917823420788846,0.35566726807878507,0.11370880436288244,-5.07213391266037,0.46608951073391536,0.23723441811328272,0.17540552351527788,0.12425823338963508
dmnelf012,2,5.346162344124963,2.062795243900018,-0.7577486141221166,5.888734710405483,-7.459446898550507,0.35978304935501454,0.15218041226244455,-7.301963589054577,0.42404231121666053,0.15691821141157478,0.1282918924460488,0.17186516911038377
dmnelf012,3,4.379134306540433,3.3558777985403783,0.7082679446269601,7.991710738310065,-9.8972757049404,0.24130224963143507,0.0928829032688658,-19.10895188523294,0.10106532247497585,0.012128449657013126,0.10116340464143622,0.14800372486913776
dmnelf012,4,5.972453851050333,6.483297198135917,-0.6176950731667307,11.692736063192065,-12.249857522104284,0.17880765018277656,0.05621928850482518,-17.24032507190859,0.10893798085511007,0.018528706184910024,0.09548410220033864,0.11183153215728074
dmnelf013,1,3.2003025365657867,0.354769338735812,-2.170617226866079,0.7982422064587305,-19.336458072923254,-0.026787140810837624,0.011516581393263382,-23.03878576579063,-0.03141708411653197,0.004942759591812105,0.01095649521736654,0.03534951431372075
dmnelf013,2,8.621692602626132,10.030942206304946,7.450219711060905,6.849015215449303,-32.14053499540747,-0.009968596850340574,0.0006104938388770098,-13.346102875461588,-0.10000902747894054,0.04423254720417064,0.028939744313297933,0.038446943604290885
dmnelf013,3,-6.286193242090173,-3.8829696282263355,-4.923889321703681,-2.334559589183315,-16.267208604625026,-0.061413495387474246,0.023074930103221043,-26.79648939885783,0.023615312859841545,0.0020866225893881925,0.02840675449232844,0.04744707801449733
dmnelf013,4,-5.501135635424839,2.0963833147857107,-1.463078122025342,3.742588150125407,-17.90356967377228,-0.06471889785129457,0.015946368685889657,-21.602993789100214,-0.04887466336019072,0.006866073359268115,0.04598247228706556,0.061466723279958446
