subject,run,fsnr_fb,fsnr_rest,dprime_fsnr,dprime_pda,betaPDA,smooth
dmnelf1001,1,-0.092424209697757,0.10004252141042891,-0.18358052514679177,0.2487772734539972,-0.03200931998157214,0.9707666565492128
dmnelf1001,2,0.16787396185887615,-0.5650146220695713,0.45825730145409616,-0.5089979353134222,0.05743556508564051,0.9477431506327084
dmnelf1001,3,-0.025736775994767452,-0.5409080054022792,0.5105152663041409,0.21694301682740735,-0.0985998995984164,0.9297442829421508
dmnelf1001,4,0.3946976285052361,-0.4639996629801684,0.9827063091302722,1.0980354413598075,0.26658055526559915,0.9426273564091099
dmnelf1002,1,0.5224349643716597,-0.7329006567681589,1.338587914152234,1.3349707162530713,0.10241600854623098,0.95004094946281
dmnelf1002,2,0.732301909794168,-0.5347147878390688,1.0305014796716188,1.0275914723240624,0.26784105447942474,0.9716776126416268
dmnelf1002,3,0.435013815568537,-0.3649410729451692,0.9609439643651037,0.730457843613941,0.20221940613886835,0.917860652674586
dmnelf1002,4,0.5173195339305382,-0.8023586951575441,0.86864212651106,1.0687345866648545,0.1994716646954792,0.9657227222323722
dmnelf1003,1,0.16031791634060363,-0.4664590446737169,1.1830176574514826,1.7384113273237423,0.136672795546895,0.9565630581393434
dmnelf1003,2,0.19497625501021515,-0.1119673549076335,0.44446263978787015,0.2251755136438817,0.08105257080549745,0.9472632268291099
dmnelf1003,3,0.41937723914882985,-0.21467037188560217,0.3145103624201774,0.4483809642425426,0.23811663710288247,0.9259384566834551
