subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf007,GSR_CEN,tr,HRF,FC1,-0.0093357409561999,1.2485362719169044
dmnelf007,GSR_CEN,tr,TA,Oz,0.0400453568128257,1.0718584057815983
dmnelf007,GSR_PDA,tr,EFP,O1,0.221193137674946,1.0101988936533666
dmnelf007,GSR_PDA,tr,HRF,O1,0.0372529741351701,1.228278947209852
dmnelf007,GSR_PDA,tr,TA,Oz,0.3007248592113819,0.9132024564496392
dmnelf007,VIS,tr,EFP,Oz,0.0700267543225951,1.0845680223241156
dmnelf007,VIS,tr,HRF,FC2,0.0335833073175968,1.250526237876566
dmnelf007,VIS,tr,TA,P3,-0.0019628894093549,1.0174523731107492
dmnelf007,DMN,hz4,EFP,O2,0.0762145799831563,1.159440917824578
dmnelf007,DMN,hz4,HRF,Fp1,0.1077872881433208,1.0189130484256366
dmnelf007,DMN,hz4,TA,Pz,-0.0564235625736037,1.0103965481074044
dmnelf007,CEN,hz4,EFP,O2,0.3505699607813105,0.8901691596244371
dmnelf007,CEN,hz4,HRF,O2,0.1170900476222656,1.0158488568198163
dmnelf007,CEN,hz4,TA,O2,-0.0045651796388545,1.006972164820953
dmnelf007,PDA,hz4,EFP,Cz,0.2079563768833121,1.0462614550176974
dmnelf007,PDA,hz4,HRF,Fz,-0.0713499103630659,1.0853851916275967
dmnelf007,PDA,hz4,TA,Oz,0.0288781941888367,1.0156092183114869
dmnelf007,GSR_DMN,hz4,EFP,C3,-0.1513544364685999,1.3992211154841778
dmnelf007,GSR_DMN,hz4,HRF,CP1,0.0462146133537661,1.0514791563652963
dmnelf007,GSR_DMN,hz4,TA,Pz,0.0590295316563887,1.006739801118348
dmnelf007,GSR_CEN,hz4,EFP,FC6,0.1549199085915424,1.093870143156022
dmnelf007,GSR_CEN,hz4,HRF,Fz,0.1274737309524924,1.0143395745039303
dmnelf007,GSR_CEN,hz4,TA,P3,-0.2994317516299811,1.047806705352956
dmnelf007,GSR_PDA,hz4,EFP,O1,0.2702161104370084,0.9691937300645452
dmnelf007,GSR_PDA,hz4,HRF,Fz,-0.0593414808684107,1.0869721723250156
dmnelf007,GSR_PDA,hz4,TA,P3,0.0148002847978983,1.0167387085935564
dmnelf007,VIS,hz4,EFP,Oz,0.115688900846095,1.043274740323192
dmnelf007,VIS,hz4,HRF,POz,0.0895029311894534,1.0448956517591417
dmnelf007,VIS,hz4,TA,POz,0.0026808207937103,1.0102942629957976
dmnelf008,DMN,tr,EFP,Pz,0.1415427576417551,0.997558152858288
dmnelf008,DMN,tr,HRF,Pz,0.3916229183938728,0.8525521427218317
dmnelf008,DMN,tr,TA,P3,0.3414937909996724,0.8833852058961761
dmnelf008,CEN,tr,EFP,Fp2,0.3788324915833352,0.8892511811181908
dmnelf008,CEN,tr,HRF,Fp2,0.3300040639348398,0.97624802986807
dmnelf008,CEN,tr,TA,Pz,0.2294419749141152,0.9510483137418776
dmnelf008,PDA,tr,EFP,F3,0.3061227105919505,0.9141238426990344
dmnelf008,PDA,tr,HRF,CP5,0.1155042132738385,1.1011055082800738
dmnelf008,PDA,tr,TA,O1,-0.1390962531509023,1.034628057951398
dmnelf008,GSR_DMN,tr,EFP,F3,0.096764445169189,1.035632906718934
dmnelf008,GSR_DMN,tr,HRF,O2,0.2107174873467812,1.0033851015898194
dmnelf008,GSR_DMN,tr,TA,P4,-0.156307954675536,1.0311824663862734
dmnelf008,GSR_CEN,tr,EFP,Fp2,0.4405256826993806,0.8358952874557268
dmnelf008,GSR_CEN,tr,HRF,CP5,0.2282154398084502,1.0130108740948536
dmnelf008,GSR_CEN,tr,TA,O1,-0.1965678437377724,1.0300333420703076
dmnelf008,GSR_PDA,tr,EFP,F3,0.3325812973410135,0.8930066106180133
dmnelf008,GSR_PDA,tr,HRF,TP10,0.1168515272709585,1.1002766039984522
dmnelf008,GSR_PDA,tr,TA,Pz,-0.178005423230359,1.016323475364943
dmnelf008,VIS,tr,EFP,Fz,0.1577044212882734,0.9848558794717334
dmnelf008,VIS,tr,HRF,POz,0.136136550530048,0.9934953700295724
dmnelf008,VIS,tr,TA,Pz,-0.0394440418999814,1.0208019992295363
dmnelf008,DMN,hz4,EFP,Fp2,0.1796378925011117,1.0175049253638124
dmnelf008,DMN,hz4,HRF,P3,0.1858347938820325,0.9822463330239252
