subject,target,electrode,EFP,HRF,TA
dmnelf1001,CEN,Cz,0.020395178069992085,0.08440235539420171,0.04260506037888394
dmnelf1001,PDA,Pz,0.27168990555580447,0.04078229814580048,0.06718690978298107
dmnelf1001,GSR_DMN,Cz,-0.09062883288436496,0.22384802523533945,-0.18130707738121876
dmnelf1001,GSR_CEN,Pz,0.29175345534943736,0.13119620702606055,0.15439730735214244
dmnelf1001,GSR_PDA,Pz,0.2880296803275974,0.05035626043281635,0.16603728386627967
dmnelf1001,VIS,Oz,0.0358679279787714,-0.002338788504807119,0.2661060438230356
dmnelf1002,DMN,O1,0.19836728358946856,0.06143119951959493,0.15723007513939097
dmnelf1002,CEN,Cz,0.12423520936197553,-0.030131464001926647,-0.1571481306373326
dmnelf1002,PDA,Pz,0.01875698310336778,-0.05151066626022304,-0.04161161180643017
dmnelf1002,GSR_DMN,Cz,0.1153210032458213,-0.01838427193165145,-0.14809266947090596
dmnelf1002,GSR_CEN,Pz,0.07681377766457878,-0.14230767412820314,0.009141186096522884
dmnelf1002,GSR_PDA,Pz,0.004690929786431586,-0.1284730212995371,0.07135996662995221
dmnelf1002,VIS,Oz,0.17040658824821792,0.13865302897774376,0.18594977248453812
dmnelf1003,DMN,O1,-0.12088677725407965,-0.10271356628236945,0.20664333832987852
dmnelf1003,CEN,Cz,0.2643661191927891,0.22762266267796175,0.06195026358674311
dmnelf1003,PDA,Pz,0.1308754981702902,0.18865430488105145,0.1837988365088958
dmnelf1003,GSR_DMN,Cz,-0.004043204046604904,-0.11154799478525938,-0.3185191589233117
dmnelf1003,GSR_CEN,Pz,0.4665755572560639,0.2093470866477451,0.3575702240104889
dmnelf1003,GSR_PDA,Pz,0.11564309224322225,0.17396886885170004,0.1532802468744033
dmnelf1003,VIS,Oz,0.22079970745777777,0.019430770601257356,0.22245597877625972
