subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf007,DMN,hz4,TA,Pz,0.0749573795854181,1.0194532551064253
dmnelf007,CEN,hz4,EFP,O2,0.4011160208156818,0.9297152947356347
dmnelf007,CEN,hz4,HRF,O2,0.1987380585136455,0.9898472775314084
dmnelf007,CEN,hz4,TA,O2,0.0942965225063403,1.009868690116349
dmnelf007,PDA,hz4,EFP,F8,0.306373795525611,0.9847713135195956
dmnelf007,PDA,hz4,HRF,F8,0.0182718025192903,1.0864542187701045
dmnelf007,PDA,hz4,TA,Oz,0.1576636578086446,1.0202289007333618
dmnelf007,GSR_DMN,hz4,EFP,F8,0.2166891799665646,1.1867885629936317
dmnelf007,GSR_DMN,hz4,HRF,F8,0.1180943198444819,1.1452363518233126
dmnelf007,GSR_DMN,hz4,TA,Pz,0.1412983146922797,1.1332465468420965
dmnelf007,GSR_CEN,hz4,EFP,FC6,0.2943265992134112,1.2792481543251848
dmnelf007,GSR_CEN,hz4,HRF,FC6,0.0733581176314284,1.1488863489180354
dmnelf007,GSR_CEN,hz4,TA,P3,-0.0218203925084408,1.1307399056693104
dmnelf007,GSR_PDA,hz4,EFP,F8,0.2893257030149274,0.9967255902043832
dmnelf007,GSR_PDA,hz4,HRF,F8,0.0392987312349082,1.0816112754365523
dmnelf007,GSR_PDA,hz4,TA,Oz,0.1540771018480035,1.0243685483376332
dmnelf007,VIS,hz4,EFP,O2,0.304764171612618,0.9429827208958153
dmnelf007,VIS,hz4,HRF,O2,0.1411965582592566,1.015592172147319
dmnelf007,VIS,hz4,TA,P4,0.0931959983938472,1.0137234383190108
dmnelf008,DMN,tr,EFP,TP10,0.1576342493427231,1.042963058564852
dmnelf008,DMN,tr,HRF,TP10,0.274555967933662,1.0390536231462224
dmnelf008,DMN,tr,TA,P3,0.3285939204784862,0.979863475957244
dmnelf008,CEN,tr,EFP,F7,0.5131339285830984,0.917891626750404
dmnelf008,CEN,tr,HRF,F7,0.4175263836155992,0.9673921896208632
dmnelf008,CEN,tr,TA,Pz,0.296520815775625,0.9774904468787629
dmnelf008,PDA,tr,EFP,F7,0.3665390569290566,0.9389419142220844
dmnelf008,PDA,tr,HRF,F7,0.1559985513736616,1.047261882076604
dmnelf008,PDA,tr,TA,P3,0.1080770023765112,1.0483178189848172
dmnelf008,GSR_DMN,tr,EFP,F3,0.1834358151473775,1.0684481060513065
dmnelf008,GSR_DMN,tr,HRF,F3,0.0648481246883091,1.095338192712664
dmnelf008,GSR_DMN,tr,TA,POz,-0.1743772366328074,1.0510698643766587
dmnelf008,GSR_CEN,tr,EFP,F7,0.4350050293552366,0.983996833116948
dmnelf008,GSR_CEN,tr,HRF,F7,0.3075854200602924,1.0255194889210897
dmnelf008,GSR_CEN,tr,TA,O1,-0.1275281667889226,1.0666101421139835
dmnelf008,GSR_PDA,tr,EFP,F7,0.4302084496877214,0.8982307732873644
dmnelf008,GSR_PDA,tr,HRF,F7,0.1942014944061432,1.0808504278882969
dmnelf008,GSR_PDA,tr,TA,P3,-0.1396112255375045,1.0523840203030042
dmnelf008,VIS,tr,EFP,P3,0.2267422279401732,0.9648350505970992
dmnelf008,VIS,tr,HRF,P3,0.0305002030037761,1.0326352998752184
dmnelf008,VIS,tr,TA,O2,0.123776761311718,1.017781093080766
dmnelf008,DMN,hz4,EFP,TP10,0.147173786627684,1.1030949847746012
dmnelf008,DMN,hz4,HRF,TP10,0.2059907897526679,1.0253086502502609
dmnelf008,DMN,hz4,TA,P4,-0.0430220730261794,1.0081660924489386
dmnelf008,CEN,hz4,EFP,F7,0.5123241112750517,0.9291688994365372
dmnelf008,CEN,hz4,HRF,F7,0.0032384316176063,1.0878456118892283
dmnelf008,CEN,hz4,TA,POz,0.1070376273721909,1.0509176957123625
dmnelf008,PDA,hz4,EFP,F7,0.3515127154522922,1.000796350999532
dmnelf008,PDA,hz4,HRF,F7,0.222075285456579,1.0002793616423231
