subject,target,ttype,mode,window,r,cohort
rtbpd022,DMN,clean,epoc,fb,0.053399528478581,rtbpd
rtbpd022,PDA,clean,all,fb,0.2133728075784057,rtbpd
rtbpd022,PDA,clean,epoc,fb,0.238354652031713,rtbpd
rtbpd024,CEN,clean,all,fb,0.0712068511182311,rtbpd
rtbpd024,CEN,clean,epoc,fb,0.1369680746657265,rtbpd
rtbpd024,DMN,clean,all,fb,0.0565782248368963,rtbpd
rtbpd024,DMN,clean,epoc,fb,0.0690234977683474,rtbpd
rtbpd024,PDA,clean,all,fb,0.0893453137511392,rtbpd
rtbpd024,PDA,clean,epoc,fb,0.1543363833504049,rtbpd
rtbpd026,CEN,clean,all,fb,-0.1348810379630984,rtbpd
rtbpd026,CEN,clean,epoc,fb,-0.1247107450332815,rtbpd
rtbpd026,DMN,clean,all,fb,-0.081785113879762,rtbpd
rtbpd026,DMN,clean,epoc,fb,-0.0317025403064673,rtbpd
rtbpd026,PDA,clean,all,fb,-0.0209605956926529,rtbpd
rtbpd026,PDA,clean,epoc,fb,-0.0595729583090073,rtbpd
rtbpd030,CEN,clean,all,fb,0.1977832235270234,rtbpd
rtbpd030,CEN,clean,epoc,fb,0.2006595578668277,rtbpd
rtbpd030,DMN,clean,all,fb,0.2899973468467945,rtbpd
rtbpd030,DMN,clean,epoc,fb,0.2942321750472621,rtbpd
rtbpd030,PDA,clean,all,fb,0.0354945656155656,rtbpd
rtbpd030,PDA,clean,epoc,fb,0.0076411483494937,rtbpd
rtbpd034,CEN,clean,all,fb,0.1075875543368734,rtbpd
rtbpd034,CEN,clean,epoc,fb,0.0153042537543263,rtbpd
rtbpd034,DMN,clean,all,fb,0.0791297856828164,rtbpd
rtbpd034,DMN,clean,epoc,fb,0.0337542067442054,rtbpd
rtbpd034,PDA,clean,all,fb,-0.103165632911673,rtbpd
rtbpd034,PDA,clean,epoc,fb,-0.1181823659669536,rtbpd
rtbpd038,CEN,clean,all,fb,0.1233230442381314,rtbpd
rtbpd038,CEN,clean,epoc,fb,0.0954026260980015,rtbpd
rtbpd038,DMN,clean,all,fb,0.1722223025973958,rtbpd
rtbpd038,DMN,clean,epoc,fb,0.1802143865416893,rtbpd
rtbpd038,PDA,clean,all,fb,0.0669910414998638,rtbpd
rtbpd038,PDA,clean,epoc,fb,0.008507382658559,rtbpd
rtbpd040,CEN,clean,all,fb,0.1051087394106443,rtbpd
rtbpd040,CEN,clean,epoc,fb,0.1131913445668668,rtbpd
rtbpd040,DMN,clean,all,fb,-0.0139771781349359,rtbpd
rtbpd040,DMN,clean,epoc,fb,-0.054183539905349,rtbpd
rtbpd040,PDA,clean,all,fb,-0.0606313544717899,rtbpd
rtbpd040,PDA,clean,epoc,fb,-0.0889264531911346,rtbpd
