subject,region,lag_sec,lag_tr,r,n_runs,n_tr_total
dmnelf015,DMN,8.0,7,0.0011609870340821148,2,686
dmnelf015,DMN,10.0,8,-0.031135605509370928,2,684
dmnelf015,CEN,-10.0,-8,-0.02088113069557743,2,684
dmnelf015,CEN,-8.0,-7,-0.008672838266265736,2,686
dmnelf015,CEN,-6.0,-5,-0.0019683092074126627,2,690
dmnelf015,CEN,-4.0,-3,0.011555663514407984,2,694
dmnelf015,CEN,-2.0,-2,0.035975750075016244,2,696
dmnelf015,CEN,0.0,0,0.018209759437180693,2,700
dmnelf015,CEN,2.0,2,-0.0058296553512269715,2,696
dmnelf015,CEN,4.0,3,-0.030137922476017504,2,694
dmnelf015,CEN,6.0,5,-0.04512646029710132,2,690
dmnelf015,CEN,8.0,7,-0.036257643992679646,2,686
dmnelf015,CEN,10.0,8,-0.044934987712911566,2,684
dmnelf1001,DMN,-10.0,-8,0.05110547874341689,2,684
dmnelf1001,DMN,-8.0,-7,0.04187402847363571,2,686
dmnelf1001,DMN,-6.0,-5,0.030992683473531468,2,690
dmnelf1001,DMN,-4.0,-3,0.028701414612913905,2,694
dmnelf1001,DMN,-2.0,-2,-0.005826389371115404,2,696
dmnelf1001,DMN,0.0,0,-0.05940055892618575,2,700
dmnelf1001,DMN,2.0,2,-0.05732634361798935,2,696
dmnelf1001,DMN,4.0,3,-0.02901043804458821,2,694
dmnelf1001,DMN,6.0,5,0.033569620649954085,2,690
dmnelf1001,DMN,8.0,7,0.05161620838396999,2,686
dmnelf1001,DMN,10.0,8,0.020902396815200175,2,684
dmnelf1001,CEN,-10.0,-8,-0.015142568098355047,2,684
dmnelf1001,CEN,-8.0,-7,-0.013087002440599179,2,686
dmnelf1001,CEN,-6.0,-5,-0.0036864115239708148,2,690
dmnelf1001,CEN,-4.0,-3,0.012853600489773985,2,694
dmnelf1001,CEN,-2.0,-2,-0.0013399154878372523,2,696
dmnelf1001,CEN,0.0,0,-0.027460063431773513,2,700
dmnelf1001,CEN,2.0,2,-0.013157179577944742,2,696
dmnelf1001,CEN,4.0,3,-0.025364438272105157,2,694
dmnelf1001,CEN,6.0,5,-0.039344911951160653,2,690
dmnelf1001,CEN,8.0,7,-0.041668565257062196,2,686
dmnelf1001,CEN,10.0,8,-0.05874806496616081,2,684
dmnelf1002,DMN,-10.0,-8,-0.10442595224046897,1,342
dmnelf1002,DMN,-8.0,-7,-0.09950537816348133,1,343
dmnelf1002,DMN,-6.0,-5,-0.019197419055974878,1,345
dmnelf1002,DMN,-4.0,-3,-0.008776272451794043,1,347
dmnelf1002,DMN,-2.0,-2,0.011674061863703206,1,348
dmnelf1002,DMN,0.0,0,0.03952004625862635,1,350
dmnelf1002,DMN,2.0,2,-0.03874951277465981,1,348
dmnelf1002,DMN,4.0,3,-0.08039638772657624,1,347
dmnelf1002,DMN,6.0,5,-0.12656242185783542,1,345
dmnelf1002,DMN,8.0,7,-0.07033131780306898,1,343
dmnelf1002,DMN,10.0,8,-0.0340580627555491,1,342
dmnelf1002,CEN,-10.0,-8,-0.1078751541027221,1,342
dmnelf1002,CEN,-8.0,-7,-0.13287960568374035,1,343
dmnelf1002,CEN,-6.0,-5,-0.12039941074968456,1,345
dmnelf1002,CEN,-4.0,-3,-0.12284043258392194,1,347
dmnelf1002,CEN,-2.0,-2,-0.10822263806772194,1,348
dmnelf1002,CEN,0.0,0,-0.06961899920996567,1,350
dmnelf1002,CEN,2.0,2,-0.0922737163739078,1,348
dmnelf1002,CEN,4.0,3,-0.09697321569866901,1,347
dmnelf1002,CEN,6.0,5,-0.07952058803135326,1,345
dmnelf1002,CEN,8.0,7,-0.05450226305983356,1,343
dmnelf1002,CEN,10.0,8,-0.05225656887905821,1,342
dmnelf1003,DMN,-10.0,-8,0.09817714428839563,2,684
dmnelf1003,DMN,-8.0,-7,0.10404440720758706,2,686
dmnelf1003,DMN,-6.0,-5,0.04010168847671121,2,690
dmnelf1003,DMN,-4.0,-3,0.04502138112660989,2,694
dmnelf1003,DMN,-2.0,-2,0.03220280404279079,2,696
dmnelf1003,DMN,0.0,0,-0.0441516753246923,2,700
dmnelf1003,DMN,2.0,2,-0.0272902828730494,2,696
dmnelf1003,DMN,4.0,3,-0.047867505107296024,2,694
dmnelf1003,DMN,6.0,5,-0.06745347415595418,2,690
dmnelf1003,DMN,8.0,7,-0.043631894088719064,2,686
dmnelf1003,DMN,10.0,8,-0.050516083431243274,2,684
dmnelf1003,CEN,-10.0,-8,-0.0801761878819435,2,684
dmnelf1003,CEN,-8.0,-7,-0.05776554082053955,2,686
dmnelf1003,CEN,-6.0,-5,-0.054693421119110096,2,690
dmnelf1003,CEN,-4.0,-3,-0.03892082017510038,2,694
dmnelf1003,CEN,-2.0,-2,-0.024724485917859827,2,696
dmnelf1003,CEN,0.0,0,0.0009434505791989687,2,700
dmnelf1003,CEN,2.0,2,-0.05107595769293854,2,696
dmnelf1003,CEN,4.0,3,-0.07551907970116668,2,694
dmnelf1003,CEN,6.0,5,-0.03728310778158323,2,690
dmnelf1003,CEN,8.0,7,0.0004871785491525755,2,686
dmnelf1003,CEN,10.0,8,-0.0011136005291114278,2,684
