cohort,subject,target,method,electrode,n_trs,r
rtBPD,rtbpd015,GSR_PDA,HRF,Pz,750,-0.006585309159350901
rtBPD,rtbpd018,GSR_PDA,HRF,Pz,750,-0.14764635910240428
rtBPD,rtbpd020,GSR_PDA,HRF,Pz,750,-0.030319705969248482
rtBPD,rtbpd021,GSR_PDA,HRF,Pz,750,0.018792835787629254
rtBPD,rtbpd022,GSR_PDA,HRF,Pz,600,0.17963508936178071
rtBPD,rtbpd024,GSR_PDA,HRF,Pz,750,0.18243936501674154
rtBPD,rtbpd026,GSR_PDA,HRF,Pz,750,-0.06526055589957652
rtBPD,rtbpd030,GSR_PDA,HRF,Pz,750,-0.2654256561615495
rtBPD,rtbpd034,GSR_PDA,HRF,Pz,750,-0.04697324002144992
rtBPD,rtbpd038,GSR_PDA,HRF,Pz,750,0.10279383120094088
rtBPD,rtbpd040,GSR_PDA,HRF,Pz,750,-0.10117802129422344
rtBPD,rtbpd002,GSR_PDA,TA,Pz,750,-0.14468913343892534
rtBPD,rtbpd003,GSR_PDA,TA,Pz,750,-0.06273551643603698
rtBPD,rtbpd004,GSR_PDA,TA,Pz,600,-0.11284905916557364
rtBPD,rtbpd009,GSR_PDA,TA,Pz,750,-0.03761424706373646
rtBPD,rtbpd010,GSR_PDA,TA,Pz,750,0.06830617772693745
rtBPD,rtbpd011,GSR_PDA,TA,Pz,750,0.06836944495447157
rtBPD,rtbpd012,GSR_PDA,TA,Pz,750,0.04552469342487438
rtBPD,rtbpd013,GSR_PDA,TA,Pz,750,0.19969861611828213
rtBPD,rtbpd015,GSR_PDA,TA,Pz,750,-0.1493028596250958
rtBPD,rtbpd018,GSR_PDA,TA,Pz,750,-0.1320868998949772
rtBPD,rtbpd020,GSR_PDA,TA,Pz,750,-0.21790425700513708
rtBPD,rtbpd021,GSR_PDA,TA,Pz,750,0.03971124045828266
rtBPD,rtbpd022,GSR_PDA,TA,Pz,600,-0.0875430983358614
rtBPD,rtbpd024,GSR_PDA,TA,Pz,750,0.0848513215604022
rtBPD,rtbpd026,GSR_PDA,TA,Pz,750,-0.058375657572798015
rtBPD,rtbpd030,GSR_PDA,TA,Pz,750,0.259533424315006
rtBPD,rtbpd034,GSR_PDA,TA,Pz,750,-0.050409455161471044
rtBPD,rtbpd038,GSR_PDA,TA,Pz,750,-0.07433084218366547
rtBPD,rtbpd040,GSR_PDA,TA,Pz,750,-0.14642926634410314
rtBPD,rtbpd002,VIS,EFP,Oz,700,0.19108822177245904
rtBPD,rtbpd003,VIS,EFP,Oz,700,0.2585922660694237
rtBPD,rtbpd004,VIS,EFP,Oz,560,0.048244948874453984
rtBPD,rtbpd009,VIS,EFP,Oz,700,0.14856464416199355
rtBPD,rtbpd010,VIS,EFP,Oz,700,0.04190864621511758
rtBPD,rtbpd011,VIS,EFP,Oz,700,0.08473459856185475
rtBPD,rtbpd012,VIS,EFP,Oz,700,0.26744587185021407
rtBPD,rtbpd013,VIS,EFP,Oz,700,0.009095651413337425
rtBPD,rtbpd015,VIS,EFP,Oz,700,-0.009830699903750186
rtBPD,rtbpd018,VIS,EFP,Oz,700,0.011193180218336039
rtBPD,rtbpd020,VIS,EFP,Oz,700,0.3892625624477178
rtBPD,rtbpd021,VIS,EFP,Oz,700,0.1157858224777735
rtBPD,rtbpd022,VIS,EFP,Oz,560,0.05860142590325694
rtBPD,rtbpd024,VIS,EFP,Oz,700,0.037748144441147435
rtBPD,rtbpd026,VIS,EFP,Oz,700,-0.009241668612236497
rtBPD,rtbpd030,VIS,EFP,Oz,700,0.29826262071745013
rtBPD,rtbpd034,VIS,EFP,Oz,700,0.08593615877244642
rtBPD,rtbpd038,VIS,EFP,Oz,700,0.17960219518140144
rtBPD,rtbpd040,VIS,EFP,Oz,700,0.12172766792069074
rtBPD,rtbpd002,VIS,HRF,Oz,750,0.4064166304495778
rtBPD,rtbpd003,VIS,HRF,Oz,750,0.09127795529440702
rtBPD,rtbpd004,VIS,HRF,Oz,600,0.08240498106869804
rtBPD,rtbpd009,VIS,HRF,Oz,750,0.17692194619915064
rtBPD,rtbpd010,VIS,HRF,Oz,750,-0.04346959515255672
rtBPD,rtbpd011,VIS,HRF,Oz,750,0.14632225988105813
rtBPD,rtbpd012,VIS,HRF,Oz,750,0.1546388369424577
