neural,clinical,n,r,p
fc_within_cen_difumo_delta,PAI-BOR total (0-72) [resid],10,-0.08844524498320477,0.8080323983683599
fc_within_cen_pers_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.08688365664841685,0.811370218691464
fc_acc_pcc_delta,PANAS trait positive affect (10-50) [resid],10,-0.08676199452024577,0.8116303812915455
DMN_gev_pct_delta,PANAS trait negative affect (10-50) [resid],10,0.08163338404197144,0.8226122341384821
fc_within_dmn_difumo_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.08040408689883403,0.8252487136956157
DMN_coverage_pct_delta,PANAS trait positive affect (10-50) [resid],10,0.07770381413243298,0.8310454956734417
DMN_occurrence_hz_delta,PANAS trait positive affect (10-50) [resid],10,-0.07665766062428889,0.8332933028333838
fc_acc_mpfc_delta,PAI-BOR total (0-72) [resid],10,-0.07512268455426394,0.836593379335003
theta_power_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.0749744667241973,0.8369121582228027
fc_dmn_cen_difumo_delta,PANAS trait negative affect (10-50),10,-0.07393013025481018,0.8391588641305072
fc_acc_mpfc_delta,PANAS trait positive affect (10-50) [resid],10,-0.07374958734957396,0.83954737690628
delta_plv_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.07197288144473266,0.8433723479397754
fc_within_dmn_pers_delta,PHQ-9 total (0-27) [resid],10,-0.0682426025277759,0.8514125746214697
fc_within_cen_pers_delta,PAI-BOR total (0-72) [resid],10,0.06817435662931265,0.8515597885634394
CEN_gev_pct_delta,PAI-BOR total (0-72) [resid],10,-0.06776623142232924,0.852440245754415
delta_power_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,-0.0660540936926505,0.8561354664320208
CEN_gev_pct_delta,PANAS trait positive affect (10-50) [resid],10,0.06551235940866307,0.8573051919814324
fc_acc_pcc_delta,PAI-BOR total (0-72),10,-0.061066249736365916,0.8669146055774626
fc_acc_mpfc_delta,PANAS trait positive affect (10-50),10,-0.05675956863161055,0.8762376759144577
theta_plv_delta,PANAS trait positive affect (10-50),10,-0.05342027180235656,0.8834760621787464
fc_acc_pcc_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.05185991060723699,0.8868610543346116
fc_acc_mpfc_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.0515133179724844,0.8876131655408936
CEN_gev_pct_delta,PAI-BOR total (0-72),10,-0.05140695425913971,0.8878439926167319
fc_within_dmn_pers_delta,PHQ-9 total (0-27),10,0.04956670163022894,0.8918388378492794
fc_acc_mpfc_delta,PAI-BOR total (0-72),10,-0.045863689562061646,0.8998839481342014
fc_within_dmn_pers_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.0425025886477177,0.9071933608586116
theta_power_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.041971403167267884,0.908349121375492
fc_acc_mpfc_delta,PANAS trait negative affect (10-50) [resid],10,-0.03961478594390852,0.9134785218234003
delta_plv_delta,PANAS trait positive affect (10-50),10,0.03666920319038182,0.9198938890606169
DMN_gev_pct_delta,PANAS trait negative affect (10-50),10,0.03520915875975324,0.9230753747855973
delta_power_delta,PAI-BOR total (0-72) [resid],10,0.03290458635151974,0.9280990990197151
CEN_occurrence_hz_delta,PANAS trait positive affect (10-50) [resid],10,0.03211940016500159,0.9298112526487842
fc_acc_mpfc_delta,PANAS trait negative affect (10-50),10,-0.031864958513552324,0.9303661364887112
fc_within_dmn_difumo_delta,PHQ-9 total (0-27),10,-0.031805267452743535,0.9304963140855085
fc_within_cen_pers_delta,PAI-BOR total (0-72),10,0.02939378557652754,0.9357566191677904
delta_power_delta,PAI-BOR total (0-72),10,0.027327870522758417,0.9402649074706628
alpha_power_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.02547571903448676,0.9443080187731683
fc_acc_mpfc_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.025115117944835175,0.9450953204108895
DMN_occurrence_hz_delta,PANAS trait positive affect (10-50),10,-0.024577857460959827,0.9462684023502578
CEN_coverage_pct_delta,PAI-BOR total (0-72),10,0.02227407892139278,0.9512996190977423
fc_within_cen_pers_delta,PANAS trait positive affect (10-50),10,0.02195888681371007,0.9519880905527304
fc_dmn_cen_difumo_delta,PANAS trait negative affect (10-50) [resid],10,-0.016779253795928213,0.9633057145171662
fc_within_cen_difumo_delta,PANAS trait negative affect (10-50) [resid],10,0.016347073114407144,0.9642503318527502
CEN_coverage_pct_delta,PAI-BOR total (0-72) [resid],10,0.012799710562853409,0.9720052199016593
fc_within_cen_difumo_delta,PANAS trait negative affect (10-50),10,0.006877514839880465,0.9849561478785945
fc_within_dmn_difumo_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.0035919783999812938,0.9921426486285376
fc_within_dmn_difumo_delta,PHQ-9 total (0-27) [resid],10,-0.0008972888309705385,0.9980371822625703
