subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd020,04,post,B,31.692,12.3198,39.044,22.527
sub-rtbpd020,04,post,A,17.649,8.322,14.688,3.704
sub-rtbpd021,01,pre,D,31.988,8.9983,28.784,19.158
sub-rtbpd021,01,pre,C,32.382,10.2076,33.054,29.707
sub-rtbpd021,01,pre,B,21.095,7.8823,16.627,9.316
sub-rtbpd021,01,pre,A,23.958,8.9883,21.535,11.976
sub-rtbpd021,02,pre,D,43.838,11.0372,48.384,47.429
sub-rtbpd021,02,pre,C,16.946,7.3126,12.392,2.962
sub-rtbpd021,02,pre,B,21.163,8.6618,18.331,7.601
sub-rtbpd021,02,pre,A,23.392,8.9317,20.893,10.194
sub-rtbpd021,03,post,D,20.052,6.3464,12.726,2.526
sub-rtbpd021,03,post,C,43.195,11.4936,49.646,56.662
sub-rtbpd021,03,post,B,19.67,7.5558,14.862,4.298
sub-rtbpd021,03,post,A,24.405,9.3281,22.765,4.329
sub-rtbpd021,04,post,D,25.207,7.5758,19.096,2.163
sub-rtbpd021,04,post,C,34.332,9.5613,32.826,72.232
sub-rtbpd021,04,post,B,29.588,9.6279,28.487,4.188
sub-rtbpd021,04,post,A,24.231,8.0855,19.592,2.879
sub-rtbpd024,01,pre,D,27.803,13.0027,36.151,21.741
sub-rtbpd024,01,pre,C,19.279,11.3137,21.812,11.093
sub-rtbpd024,01,pre,B,23.37,11.88,27.763,20.978
sub-rtbpd024,01,pre,A,16.763,8.5152,14.274,5.5
sub-rtbpd024,02,pre,D,21.979,10.3575,22.765,9.622
sub-rtbpd024,02,pre,C,31.0,12.2964,38.119,37.502
sub-rtbpd024,02,pre,B,20.168,9.9844,20.137,8.764
sub-rtbpd024,02,pre,A,19.53,9.7179,18.979,8.578
sub-rtbpd024,03,post,D,23.695,11.83,28.031,13.688
sub-rtbpd024,03,post,C,25.633,13.2326,33.919,30.894
sub-rtbpd024,03,post,B,20.957,11.2404,23.556,19.857
sub-rtbpd024,03,post,A,16.817,8.6185,14.494,5.351
sub-rtbpd024,04,post,D,22.661,11.0738,25.095,9.486
sub-rtbpd024,04,post,C,29.444,12.9927,38.256,38.137
sub-rtbpd024,04,post,B,21.052,11.0571,23.277,17.66
sub-rtbpd024,04,post,A,16.251,8.2287,13.373,4.446
sub-rtbpd030,01,pre,D,12.95,4.5808,5.932,0.742
sub-rtbpd030,01,pre,C,55.387,12.0199,66.575,77.184
sub-rtbpd030,01,pre,B,17.03,8.1288,13.844,4.028
sub-rtbpd030,01,pre,A,16.408,8.3187,13.65,3.853
sub-rtbpd030,02,pre,D,14.895,6.8995,10.277,2.06
sub-rtbpd030,02,pre,C,40.561,13.9389,56.538,60.818
sub-rtbpd030,02,pre,B,16.648,8.7951,14.642,4.894
sub-rtbpd030,02,pre,A,17.698,10.4775,18.543,7.985
sub-rtbpd030,03,post,D,13.292,5.7068,7.586,1.256
sub-rtbpd030,03,post,C,49.079,12.7695,62.671,71.39
sub-rtbpd030,03,post,B,16.86,8.5619,14.435,4.432
sub-rtbpd030,03,post,A,17.031,8.9883,15.308,5.765
sub-rtbpd030,04,post,D,14.477,5.9233,8.575,1.499
sub-rtbpd030,04,post,C,45.871,12.8961,59.156,68.856
sub-rtbpd030,04,post,B,18.047,9.0283,16.294,5.494
sub-rtbpd030,04,post,A,18.089,8.8317,15.976,6.288
sub-rtbpd038,01,pre,D,29.951,12.6329,37.837,23.007
sub-rtbpd038,01,pre,C,17.956,10.3742,18.628,6.263
sub-rtbpd038,01,pre,B,19.916,9.9511,19.819,8.697
sub-rtbpd038,01,pre,A,21.384,11.0905,23.716,10.223
sub-rtbpd038,02,pre,D,26.633,13.0094,34.647,17.706
sub-rtbpd038,02,pre,C,18.786,10.9072,20.491,15.694
sub-rtbpd038,02,pre,B,19.933,11.377,22.678,10.789
sub-rtbpd038,02,pre,A,18.319,12.1099,22.184,9.003
sub-rtbpd038,03,post,D,34.375,12.9561,44.536,22.388
sub-rtbpd038,03,post,C,14.064,6.4431,9.062,2.56
sub-rtbpd038,03,post,B,18.788,8.2454,15.491,7.039
sub-rtbpd038,03,post,A,25.874,11.9466,30.911,11.801
sub-rtbpd038,04,post,D,30.46,12.6796,38.622,27.537
sub-rtbpd038,04,post,C,15.98,8.8117,14.081,4.083
sub-rtbpd038,04,post,B,22.033,10.2876,22.667,8.957
sub-rtbpd038,04,post,A,21.505,11.4536,24.631,12.695
sub-rtbpd040,01,pre,D,21.865,9.1715,20.053,12.248
