subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd012,01,pre,AUD,23.481,10.3209,24.234,20.191
sub-rtbpd012,01,pre,DMN,15.435,4.2243,6.52,1.471
sub-rtbpd012,01,pre,SOM,15.079,4.4642,6.732,1.778
sub-rtbpd012,01,pre,VIS,17.385,6.3198,10.987,4.719
sub-rtbpd012,01,pre,SAL,18.213,7.146,13.015,6.386
sub-rtbpd012,02,pre,CEN,26.139,9.9411,25.985,26.548
sub-rtbpd012,02,pre,DANT,15.982,4.3842,7.007,2.38
sub-rtbpd012,02,pre,AUD,26.118,10.5208,27.478,25.961
sub-rtbpd012,02,pre,DMN,15.787,4.2876,6.769,1.897
sub-rtbpd012,02,pre,SOM,16.484,4.9372,8.139,2.727
sub-rtbpd012,02,pre,VIS,18.615,6.8295,12.713,8.111
sub-rtbpd012,02,pre,SAL,18.61,6.3997,11.91,5.883
sub-rtbpd012,03,post,CEN,36.657,10.1676,37.271,32.541
sub-rtbpd012,03,post,DANT,14.525,2.3853,3.465,1.302
sub-rtbpd012,03,post,AUD,28.333,9.3781,26.57,14.919
sub-rtbpd012,03,post,DMN,17.388,3.7113,6.453,1.752
sub-rtbpd012,03,post,SOM,18.832,5.2837,9.95,3.595
sub-rtbpd012,03,post,VIS,15.598,3.1982,4.989,0.695
sub-rtbpd012,03,post,SAL,19.363,5.8367,11.302,7.794
sub-rtbpd012,04,post,CEN,37.861,10.0544,38.067,33.011
sub-rtbpd012,04,post,DANT,14.567,2.1155,3.082,1.315
sub-rtbpd012,04,post,AUD,28.194,9.3481,26.356,16.004
sub-rtbpd012,04,post,DMN,16.141,2.9217,4.716,1.205
sub-rtbpd012,04,post,SOM,18.838,5.1438,9.69,3.828
sub-rtbpd012,04,post,VIS,15.542,3.1282,4.862,1.411
sub-rtbpd012,04,post,SAL,20.778,6.3664,13.228,6.5
sub-rtbpd013,01,pre,CEN,25.518,9.4547,24.126,30.505
sub-rtbpd013,01,pre,DANT,17.454,5.1338,8.96,3.157
sub-rtbpd013,01,pre,AUD,20.905,8.7018,18.191,12.073
sub-rtbpd013,01,pre,DMN,14.33,4.0844,5.853,1.242
sub-rtbpd013,01,pre,SOM,14.226,3.8945,5.54,1.698
sub-rtbpd013,01,pre,VIS,21.372,7.9822,17.06,9.517
sub-rtbpd013,01,pre,SAL,24.01,8.4419,20.269,17.883
sub-rtbpd013,02,pre,CEN,29.495,8.2554,24.349,33.597
sub-rtbpd013,02,pre,DANT,18.748,4.7373,8.882,2.519
sub-rtbpd013,02,pre,AUD,23.39,7.8723,18.413,9.9
sub-rtbpd013,02,pre,DMN,15.539,3.5247,5.477,0.844
sub-rtbpd013,02,pre,SOM,15.176,3.4114,5.177,1.335
sub-rtbpd013,02,pre,VIS,22.559,7.5591,17.052,7.688
sub-rtbpd013,02,pre,SAL,26.961,7.659,20.65,21.057
sub-rtbpd013,03,post,CEN,19.01,8.6651,16.472,20.16
sub-rtbpd013,03,post,DANT,19.656,8.352,16.417,8.05
sub-rtbpd013,03,post,AUD,16.311,7.1926,11.732,5.862
sub-rtbpd013,03,post,DMN,14.544,4.6907,6.822,1.326
sub-rtbpd013,03,post,SOM,13.993,3.6246,5.072,1.105
sub-rtbpd013,03,post,VIS,22.385,10.1043,22.619,14.767
sub-rtbpd013,03,post,SAL,21.146,9.8678,20.866,16.305
sub-rtbpd013,04,post,CEN,17.981,6.3331,11.388,9.771
sub-rtbpd013,04,post,DANT,20.315,6.5164,13.238,5.271
sub-rtbpd013,04,post,AUD,16.595,5.3837,8.934,3.64
sub-rtbpd013,04,post,DMN,15.735,4.4175,6.951,1.252
sub-rtbpd013,04,post,SOM,16.157,4.191,6.772,2.009
sub-rtbpd013,04,post,VIS,24.412,9.2581,22.601,14.369
sub-rtbpd013,04,post,SAL,29.611,10.171,30.117,34.582
sub-rtbpd015,01,pre,CEN,29.564,12.4697,36.865,40.753
sub-rtbpd015,01,pre,DANT,11.807,2.8984,3.422,0.563
sub-rtbpd015,01,pre,AUD,25.774,11.6801,30.104,25.629
sub-rtbpd015,01,pre,DMN,11.791,2.2321,2.632,0.301
sub-rtbpd015,01,pre,SOM,13.733,3.2482,4.461,1.545
sub-rtbpd015,01,pre,VIS,16.499,5.8767,9.696,3.623
sub-rtbpd015,01,pre,SAL,17.111,7.4925,12.82,6.545
sub-rtbpd015,02,pre,CEN,29.627,11.7234,34.733,40.678
sub-rtbpd015,02,pre,DANT,13.836,5.6035,7.753,2.405
sub-rtbpd015,02,pre,AUD,21.111,10.071,21.261,15.198
sub-rtbpd015,02,pre,DMN,12.389,3.8512,4.771,0.877
sub-rtbpd015,02,pre,SOM,13.548,4.0577,5.498,1.615
sub-rtbpd015,02,pre,VIS,16.611,6.8861,11.438,5.052
sub-rtbpd015,02,pre,SAL,18.306,7.9456,14.545,10.627
sub-rtbpd015,03,post,CEN,13.483,6.9328,9.347,3.352
sub-rtbpd015,03,post,DANT,15.738,10.1543,15.98,6.421
sub-rtbpd015,03,post,AUD,12.127,4.181,5.07,1.079
sub-rtbpd015,03,post,DMN,13.463,7.2393,9.747,2.723
sub-rtbpd015,03,post,SOM,13.094,5.94,7.778,1.838
sub-rtbpd015,03,post,VIS,16.963,11.4136,19.361,9.74
sub-rtbpd015,03,post,SAL,22.294,14.6751,32.716,25.29
sub-rtbpd015,04,post,CEN,17.145,10.7873,18.494,12.01
sub-rtbpd015,04,post,DANT,14.105,8.7018,12.274,4.976
sub-rtbpd015,04,post,AUD,19.822,11.287,22.373,18.293
sub-rtbpd015,04,post,DMN,12.685,4.9606,6.292,1.331
sub-rtbpd015,04,post,SOM,15.696,8.2587,12.963,7.986
sub-rtbpd015,04,post,VIS,15.966,9.0083,14.383,8.754
sub-rtbpd015,04,post,SAL,15.52,8.5186,13.221,7.879
sub-rtbpd018,01,pre,CEN,15.576,9.2548,14.415,8.75
sub-rtbpd018,01,pre,DANT,16.346,7.3159,11.959,4.67
sub-rtbpd018,01,pre,AUD,14.715,7.3292,10.785,5.716
sub-rtbpd018,01,pre,DMN,13.708,4.3875,6.015,1.249
sub-rtbpd018,01,pre,SOM,17.677,8.3686,14.793,10.698
sub-rtbpd018,01,pre,VIS,16.826,7.7357,13.016,7.467
sub-rtbpd018,01,pre,SAL,25.313,11.4636,29.018,37.548
sub-rtbpd018,02,pre,CEN,26.259,10.2709,26.97,40.772
sub-rtbpd018,02,pre,DANT,14.702,3.9311,5.779,1.67
sub-rtbpd018,02,pre,AUD,19.339,8.8884,17.189,7.68
sub-rtbpd018,02,pre,DMN,12.888,2.0189,2.602,0.511
sub-rtbpd018,02,pre,SOM,14.61,5.0372,7.359,1.748
sub-rtbpd018,02,pre,VIS,18.88,7.789,14.706,7.024
sub-rtbpd018,02,pre,SAL,25.132,10.1043,25.394,20.707
sub-rtbpd018,03,post,CEN,28.437,8.7851,24.982,32.842
sub-rtbpd018,03,post,DANT,17.953,4.7773,8.577,2.324
sub-rtbpd018,03,post,AUD,19.085,6.593,12.583,9.635
sub-rtbpd018,03,post,DMN,19.018,4.131,7.856,1.839
sub-rtbpd018,03,post,SOM,18.398,4.9539,9.114,4.123
